"_SITE_TITLE";"Social Network"
"%1$s vote";"%1$s vote";"%1$s votes"
"{item:$subject} commented on {item:$owner}'s {item:$object:poll}.";"{item:$subject} commented on {item:$owner}'s {item:$object:poll}."
"{item:$subject} created a new poll:";"{item:$subject} ha creato un nuovo sondaggio:"
"ITEM_TYPE_POLL";"Polls"
"Inbox";"Messaggi Ricevuti"
"Sent Messages";"Messaggi Inviati"
"Compose Message";"Componi Messaggio"
"My Messages";"I Miei Messaggi"
"Create your new message with the form below. Your message can be addressed to up to 10 recipients.";"Crea il tuo nuovo messaggio con il modulo sottostante. Il tuo messaggio può essere indirizzato ad un massimo di 10 destinatari per volta."
"Send Reply";"Invia Risposta"
"Your message has been sent successfully.";"Il tuo messaggio è stato inoltrato con successo."
"The selected messages have been deleted.";"I messaggi selezionati sono stati eliminati."
"Delete Message(s)?";"Elimina messaggi"
"Are you sure that you want to delete the selected message(s)? This action cannot be undone.";"Sei certo di voler eliminare i messaggi selezionati? Questa azione è irreversibile."
"Conversation with a deleted member.";"Conversation with a deleted member."
"You have %1$s new message, %2$s total";"%1$s nuovo messaggio ricevuto su un totale di %2$s ";"%1$s nuovi messaggi ricevuti su un totale di %2$s "
"Tip: %1$sClick here%2$s to send your first message!";"%1$sClicca qui%2$s per inviare il tuo primo messaggio!"
"You have 0 sent messages.";"0 messaggi inviati."
"You have %s sent message total";"%s messaggio inviato";"%s messaggi inviati"
"<em>(No Subject)</em>";"<em>(Nessun Oggetto)</em>"
"(No Subject)";"(Nessun Oggetto)"
"Between %1$s and %2$s";"Tra %1$s e %2$s"
"You";"You"
"Start typing...";"Inizia a digitare..."
"Message Settings";"Message Settings"
"Specify what messaging options will be available to members in this level.";"Specify what messaging options will be available to members in this level."
"Who can users send private messages to?";"Quali utenti possono inviarti messaggi privati?"
"If you don't want to allow private messaging, de-select all options below.";"If you don't want to allow private messaging, de-select all options below."
"All Registered Members";"Tutti gli utenti registrati"
"Users in the same network";"Users in the same network"
"Friends";"Amici"
"Edit Level";"Edit Level"
"ACTIVITY_TYPE_MESSAGE_NEW";"Quando ricevo un messaggio."
"{item:$subject} has sent you a {item:$object:message}.";"{item:$subject} ti ha inviato un {item:$object:messaggio}."
"_EMAIL_NOTIFY_MESSAGE_NEW_TITLE";"Nuovo Messaggio"
"_EMAIL_NOTIFY_MESSAGE_NEW_DESCRIPTION";"This is the email that gets sent to a member when they receive a new message."
"_EMAIL_NOTIFY_MESSAGE_NEW_SUBJECT";"Hai ricevuto un nuovo messaggio da [sender_title]."
"_EMAIL_NOTIFY_MESSAGE_NEW_BODY";"[header]

Hai appena ricevuto un nuovo messaggio da [sender_title]:

[object_description]

Clicca sul link seguente vederlo:

http://[host][object_link]

[footer]"
"Classified";"Annuncio"
"Classifieds";"Annunci"
"classified";"annuncio";"annunci"
"View All Listings";"Vedi tutti gli Annunci"
"Classified Listings";"Annunci"
"Delete Classified Listing?";"Elimina Lista Annunci?"
"Are you sure that you want to delete the classified listing with the title %1$s"" last modified %2$s? It will not be recoverable after being deleted.""";"Are you sure that you want to delete the classified listing with the title %1$s"" last modified %2$s? It will not be recoverable after being deleted."""
"ADMIN_ACTIVITY_TYPE_CLASSIFIED_NEW";"Quando viene pubblicato un anuovo annuncio."
"ADMIN_ACTIVITY_TYPE_LIKE_CLASSIFIED";"Quando a qualcuno piace un mio annuncio."
"ADMIN_ACTIVITY_TYPE_LIKED_CLASSIFIED";"Quando qualcuno commenta un annuncio che mi piace."
"ADMIN_ACTIVITY_TYPE_COMMENT_CLASSIFIED";"Quando qualcuno commenta un mio annuncio."
"ADMIN_ACTIVITY_TYPE_COMMENTED_CLASSIFIED";"Quando qualcuno commenta annunci che io ho commentato."
"_ACTIVITY_ACTIONTYPE_CLASSIFIED_NEW";"Nuovi annunci"
"_ACTIVITY_ACTIONTYPE_COMMENT_CLASSIFIED";"Commenti sui tuoi annunci"
"ACTIVITY_TYPE_COMMENTED_CLASSIFIED";"Quando qualcuno commenta annunci che io ho commentato."
"ACTIVITY_TYPE_COMMENT_CLASSIFIED";"Quando qualcuno commenta un mio annuncio."
"ACTIVITY_TYPE_LIKE_CLASSIFIED";"Quando a qualcuno piace un mio annuncio."
"ACTIVITY_TYPE_LIKED_CLASSIFIED";"Quando qualcuno commenta un annuncio che mi piace."
"ACTIVITY_TYPE_CLASSIFIED_NEW";"When a new classified listing is posted."
"Main Photo";"Foto Principale"
"Post New Listing";"Pubblica Nuovo Annuncio"
"Showing classified listings using the tag";"Showing classified listings using the tag"
"Showing classified listings created on";"Showing classified listings created on"
"map";"mappa"
"Nobody has posted a classified listing with that criteria.";"Nobody has posted a classified listing with that criteria."
"Be the first to %post%2$s one!";"Vuoi %pubblicarne%2$s uno tu?"
"Nobody has posted a classified listing yet.";"Nessuno ha ancora pubblicato annunci."
"Search Classifieds";"Cerca Annunci"
"%1$s's Classified Listing";"%1$s Annuncio"
"%1$s's Classified Listings";"%1$s Annunci"
"Edit Listing";"Modifica Annuncio"
"Close Listing";"Chiudi Annuncio"
"Open Listing";"Riapri Annuncio"
"Delete Listing";"Elimina Annuncio"
"posted by";"postato da"
"You do not have any classified listing that match your search criteria.";"Nessun annucio trovato con il criterio richiesto."
"You do not have any classified listings.";"Non hai pubblicato alcun annuncio."
"Get started by <a href='%1$s'>posting</a> a new listing.";"Get started by <a href='%1$s'>posting</a> a new listing."
"Listing Posted";"Annuncio Pubblicato"
"Your listing was successfully published. Would you like to add some photos to it?";"Il tuo annuncio è stato pubblicato con successo! Vuoi aggiungere delle foto all'inserzione?"
"continue to my listing";"Torna ai miei annunci"
"The classified you are looking for does not exist or has been deleted.";"L'annuncio che hai cercato non esiste o è stato rimosso."
"Edit This Listing";"Modifica questo annuncio"
"This classified listing has been closed by the poster.";"Questo annuncio è stato chiuso dall'autore."
"Filed in";"Categoria"
"Classified Listing Photos";"Foto Annunci"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code.";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."
"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your classified listing.";"Clicca su ""aggiungi foto"" e seleziona una o più foto dal tuo computer. L'upload parte in automatico a selezione compiuta. Al termine, clicca su ""Salva Foto"" per aggiungere al tuo annuncio le immagini caricate. "
"Image Description";"Image Description"
"Choose photos on your computer to add to this classified listing. (2MB maximum)";"Scegli dal tuo computer delle foto pertinenti da allegare a questo annuncio. (max 2MB)"
"Compose your new classified listing below, then click ""Post Listing"" to publish the listing.";"Componi il tuo annuncio qui sotto, quindi fai clic su ""Pubblica"" per pubblicare l'inserzione.
"
"Listing Title";"Titolo dell'annuncio"
"Tags (Keywords)";"Tags (parole di ricerca)"
"Who may see this classified listing?";"Chi può vedere questo annuncio?"
"Who may post comments on this classified listing?";"Chi può commentare questo articolo?"
"Post Listing";"Pubblica"
"Edit Classified Listing";"Modifica Annuncio"
"Edit your listing below, then click ""Save Changes"" to save your listing.";"Edit your listing below, then click ""Save Changes"" to save your listing."
"Album Cover";"Copertina Album"
"Most Viewed";"Più Visti"
"Show";"Mostra"
"Everyone's Posts";"Tutti i Post"
"Only My Friends' Posts";"Solo Post dei Miei Amici"
"Status";"Stato"
"All Listings";"Tutti gli annunci"
"Only Open Listings";"Solo annunci in corso"
"Only Closed Listings";"Solo annunci chiusi"
"Browse Listings";"Cerca Annunci"
"My Listings";"I Miei Annunci"
"Post a New Listing";"Pubblica Nuovo Annuncio"
"You have already created the maximum number of classified listings allowed.";"You have already created the maximum number of classified listings allowed."
"If you would like to create a new listing, please <a href=%1$s"">delete</a> an old one first.""";"If you would like to create a new listing, please <a href=%1$s"">delete</a> an old one first."""
"If you would like to create a new listing, please delete an old one first.";"If you would like to create a new listing, please delete an old one first."
"%s has not posted a classified listing yet.";"%s non ha ancora pubblicato alcun annuncio."
"CLASSIFIEDS_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the classified listings your users have posted. You can use this page to monitor these classified listings and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific blog entries. Leaving the filter fields blank will show all the blog entries on your social network."
"There are no classified listings by your members yet.";"There are no classified listings by your members yet."
"CLASSIFIED_VIEWS_SCRIPTS_ADMINMANAGE_DELETE_DESCRIPTION";"Are you sure that you want to delete this classified listing? It will not be recoverable after being deleted."
"CLASSIFIEDS_VIEWS_SCRIPTS_ADMINSETTINGS_DELETE_DESCRIPTION";"Are you sure that you want to delete this category? It will not be recoverable after being deleted."
"Classified Listing Categories";"Categorie Annunci"
"CLASSIFIEDS_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their classified entries, create the categories below. This feature is useful if you want to list all your users' classified entries that If you have no categories, your users will not be given the option of assigning a classified category."
"Upload complete.";"Upload complete."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"Classified Questions";"Classified Questions"
"View Classifieds";"Vedi Annunci"
"CLASSIFIED_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Classifieds?";"Consenti la visulaizzazione degli Annunci?"
"Do you want to let members view classifieds? If set to no, some other settings on this page may not apply.";"Do you want to let members view classifieds? If set to no, some other settings on this page may not apply."
"No, do not allow classifieds to be viewed.";"No, do not allow classifieds to be viewed."
"Yes, allow viewing of classifieds.";"Yes, allow viewing of classifieds."
"Yes, allow viewing of all classifieds, even private ones.";"Yes, allow viewing of all classifieds, even private ones."
"Allow Editing of Classifieds?";"Allow Editing of Classifieds?"
"Do you want to let members edit classifieds? If set to no, some other settings on this page may not apply.";"Do you want to let members edit classifieds? If set to no, some other settings on this page may not apply."
"No, do not allow members to edit their classifieds.";"No, do not allow members to edit their classifieds."
"Yes, allow members to edit their own classifieds.";"Yes, allow members to edit their own classifieds."
"Yes, allow members to edit all classifieds.";"Yes, allow members to edit all classifieds."
"Allow Deletion of Classifieds?";"Allow Deletion of Classifieds?"
"Do you want to let members delete classifieds? If set to no, some other settings on this page may not apply.";"Do you want to let members delete classifieds? If set to no, some other settings on this page may not apply."
"No, do not allow members to delete their classifieds.";"No, do not allow members to delete their classifieds."
"Yes, allow members to delete their own classifieds.";"Yes, allow members to delete their own classifieds."
"Yes, allow members to delete all classifieds.";"Yes, allow members to delete all classifieds."
"Allow Creation of Classifieds?";"Allow Creation of Classifieds?"
"Yes, allow creation of classifieds.";"Yes, allow creation of classifieds."
"No, do not allow classifieds to be created.";"No, do not allow classifieds to be created."
"Allow Uploading of Photos?";"Allow Uploading of Photos?"
"Do you want to let members upload photos to a classified listing? If set to no, the option to upload photos will not appear.";"Do you want to let members upload photos to a classified listing? If set to no, the option to upload photos will not appear."
"Yes, allow photo uploading to classifieds.";"Yes, allow photo uploading to classifieds."
"No, do not allow photo uploading.";"No, do not allow photo uploading."
"CLASSIFIED_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let members create classifieds? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view classifieds, but only want certain levels to be able to create classifieds."
"CLASSIFIED_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their classified listings. These options appear on your members' ""Add Listings"" and ""Edit Entry"" pages. If you do not check any options, everyone will be allowed to view classifieds."
"CLASSIFIED_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their listings. If you do not check any options, everyone will be allowed to post comments on listings."
